Name,Artist,Genre,Year,Date Added,Last Played,Plays
Never There,Cake,Alternative,1998,"8/31/19, 1:13 AM","3/22/20, 3:03 PM",20
Cold As Ice,Foreigner,Rock,1977,"6/25/19, 2:45 PM","3/1/20, 2:45 PM",20
It's the End of the World As We Know It (And I Feel Fine),R.E.M.,Alternative,1987,"9/22/18, 2:09 AM","4/3/20, 6:23 PM",20
Don't Bring Me Down,Electric Light Orchestra,Rock,1979,"2/27/18, 11:14 PM","12/13/19, 1:03 PM",19
The Sweet Escape (feat. Akon),Gwen Stefani,Pop,2006,"3/18/19, 8:23 PM","3/16/20, 1:15 PM",19
Baby I'm Yours�,Breakbot,Electronic,2010,"12/11/18, 8:44 PM","11/7/19, 5:59 PM",18
Good Times Roll,The Cars,Rock,1978,"11/25/17, 12:08 PM","11/2/19, 12:39 PM",18
Put Your Records On,Corinne Bailey Rae,Soul,2006,"6/17/18, 4:04 PM","12/16/18, 5:30 PM",17
Any Way You Want It,Journey,Rock,1980,"1/11/20, 6:38 PM","7/24/20, 2:26 PM",17
Higher Love (Remastered),Steve Winwood,Alternative,2000,"5/22/18, 3:19 PM","4/3/20, 6:10 PM",17
Heat of the Moment,Asia,Rock,1982,"10/4/19, 6:59 PM","3/12/20, 2:31 PM",16
Midnight Special,Creedence Clearwater Revival,Rock,1969,"5/18/19, 12:30 AM","2/25/20, 9:26 PM",16
Mr. Blue Sky,Electric Light Orchestra,Rock,1977,"12/27/17, 6:51 PM","7/24/20, 3:05 PM",16
Bring It On Home to Me,Freddie Scott,R&B/Soul,1967,"11/17/17, 12:08 AM","3/21/20, 11:13 AM",16
The Passenger,Iggy Pop,Rock,1977,"12/9/18, 2:39 AM","6/16/20, 2:01 PM",16
You Make My Dreams (Come True) [Remastered],Daryl Hall & John Oates,Pop,1980,"5/29/18, 12:26 AM","8/2/20, 4:50 PM",15
The Boys of Summer,Don Henley,Rock,1984,"11/20/19, 6:26 PM","3/1/20, 12:43 PM",15
(Sittin' On) The Dock of the Bay,Otis Redding,R&B/Soul,1968,"8/13/19, 11:08 PM","2/28/20, 6:19 PM",15
Wild World,Cat Stevens,Singer/Songwriter,1970,"7/6/19, 3:07 PM","6/16/20, 2:32 PM",14
D'yer Mak'er,Led Zeppelin,Rock,1973,"3/1/19, 6:52 PM","1/23/20, 1:58 PM",14
Song for No One,Miike Snow,Alternative,2009,"11/27/18, 11:48 PM","10/18/19, 11:47 AM",14
Date Rape,Sublime,Alternative,1992,"3/13/17, 11:55 AM","7/12/20, 12:40 PM",14
Listen to the Music (Edit),The Doobie Brothers,Pop,1976,"3/2/19, 11:32 PM","3/1/20, 12:14 PM",13
Ready to Let Go,Cage the Elephant,Alternative,2019,"7/23/19, 1:35 PM","3/17/20, 5:38 PM",12
Upside Down,Jack Johnson,Rock,2006,"2/6/19, 12:58 PM","3/12/20, 2:34 PM",12
Freaking Out the Neighborhood,Mac DeMarco,Alternative,2012,"8/11/18, 1:07 PM","7/24/20, 3:19 PM",12
Come and Get Your Love,Redbone,Pop,1973,"9/1/19, 12:55 AM","4/9/20, 5:52 PM",12
All the Small Things,blink-182,Rock,1999,"11/4/19, 8:32 PM","4/2/20, 3:38 PM",11
Drift Away,Dobie Gray,R&B/Soul,1973,"7/3/16, 1:33 AM","3/12/20, 2:10 PM",11
Moment of Truth,Gang Starr,Hip-Hop/Rap,1998,"8/12/18, 1:56 AM","8/2/20, 5:07 PM",11
Sundown,Gordon Lightfoot,Singer/Songwriter,1974,"12/25/18, 10:23 PM","11/7/19, 6:11 PM",11
Could You Be Loved,Bob Marley & The Wailers,Reggae,1980,"2/6/19, 7:01 PM","1/23/20, 3:52 PM",10
Forgiveness,MADE IN HEIGHTS,Pop,2015,"12/17/15, 12:30 AM","1/11/18, 1:00 PM",10
Honeyweed,Summer Salt,Indie Rock,2019,"7/28/19, 1:43 PM","2/29/20, 12:56 PM",10
Hungry Like the Wolf,Duran Duran,Alternative,1982,"10/8/18, 1:32 AM","5/31/19, 1:21 PM",9
Going to California,Led Zeppelin,Rock,1971,"4/27/17, 2:31 AM","7/12/20, 11:49 AM",9
Let's Get It On,Marvin Gaye,R&B/Soul,1973,"1/31/17, 1:23 PM","5/15/20, 12:31 PM",9
Holding out for a Hero,Bonnie Tyler,Soundtrack,1984,"5/24/19, 8:35 PM","2/10/20, 3:03 PM",8
Gimme Little Sign,Brenton Wood,Soundtrack,1966,"10/31/18, 10:10 PM","4/10/19, 12:39 PM",8
Maple,Felly,Hip-Hop/Rap,2018,"2/17/19, 4:10 PM","3/12/20, 3:00 PM",8
Somewhere Over the Rainbow,Israel Kamakawiwo'ole,Worldwide,1990,"9/11/18, 1:05 AM","4/19/20, 4:26 PM",8
Get Down On It,Kool & The Gang,R&B/Soul,1981,"11/15/19, 1:24 AM","3/22/20, 3:41 PM",8
Big Log,Robert Plant,Rock,1983,"3/30/20, 10:19 PM","4/8/20, 1:38 PM",8
Travelin' Band,Creedence Clearwater Revival,Rock,1970,"2/7/17, 3:57 AM","8/19/19, 7:08 PM",7
Little Talks,Of Monsters and Men,Alternative,2011,"11/15/19, 2:08 AM","7/24/20, 2:46 PM",6
And It Stoned Me,Van Morrison,Rock,1970,"7/14/19, 12:44 PM","3/5/20, 12:16 PM",6
The Less I Know the Better,Tame Impala,Alternative,2015,"2/18/20, 4:50 PM","7/12/20, 11:44 AM",5
Baker Street,Gerry Rafferty,Rock,1978,"4/19/20, 10:22 AM","7/24/20, 2:39 PM",4
Oh Klahoma,Jack Stauber,Pop,2017,"4/2/19, 8:54 PM","7/23/19, 11:31 AM",4
Walking On Sunshine,Katrina & The Waves,Pop,1985,"9/7/18, 1:53 PM","6/14/20, 4:22 PM",4
Chamber of Reflection,Mac DeMarco,Alternative,2014,"8/10/18, 7:51 PM","7/7/20, 11:00 AM",4
Edge of Seventeen,Stevie Nicks,Rock,1981,"11/6/19, 12:45 AM","3/22/20, 4:17 PM",4
Soulshine,The Allman Brothers Band,Rock,1990,"4/5/20, 1:26 PM","5/25/20, 11:21 AM",3
Dancing With Myself,Billy Idol,Rock,1981,"11/6/19, 12:51 AM","2/25/20, 9:42 PM",3
Buttercup,Hippo Campus,Alternative,2017,"2/6/19, 6:23 PM","2/24/20, 8:05 PM",3
I Can't Go On Without You,KALEO,Alternative,2016,"4/3/18, 5:19 PM","6/8/18, 9:04 PM",2
Last Kiss,Pearl Jam,Alternative,1999,"9/3/19, 8:40 PM","2/24/20, 9:07 PM",2
Do Your Stuff,Perk Badger,R&B/Soul,2007,"1/21/20, 9:58 PM","1/27/20, 8:58 PM",2
With or Without You,U2,Rock,1987,"9/3/19, 8:45 PM","3/12/20, 2:44 PM",2
Wake Me Up,Avicii,House,2013,"7/8/20, 11:51 PM","8/1/20, 3:41 PM",1
No Diggity (feat. Dr. Dre & Queen Pen),Blackstreet,R&B/Soul,1996,"10/6/19, 4:01 PM","10/10/18, 10:38 PM",1
O-o-h Child (Remastered),The Five Stairsteps,R&B/Soul,1970,"3/18/19, 11:35 PM","10/10/18, 9:23 PM",1
What a Wonderful World,Louis Armstrong,Jazz,1967,"6/22/20, 9:41 PM","7/7/20, 10:56 AM",1
Electric Feel,MGMT,Alternative,2007,"9/17/18, 4:21 PM","7/23/20, 4:52 PM",1
Home Sweet Home,M�tley Cr�e,Hard Rock,1985,"5/27/20, 6:02 PM","5/30/20, 11:06 AM",1
Limelight,Rush,Rock,1981,"12/26/18, 2:16 PM","1/31/19, 9:54 AM",1
Let Me Blow Ya Mind (feat. Gwen Stefani),Eve,Hip-Hop/Rap,2001,"9/17/19, 2:22 PM",,
Centerfold,The J. Geils Band,Rock,1981,"3/18/19, 11:35 PM",,
Brandy (You're A Fine Girl),Looking Glass,Pop,1972,"3/18/19, 11:35 PM",,
Ho Hey,The Lumineers,Alternative,2012,"2/6/19, 3:58 AM",,
Days Go By,Peach Fur,Rock & Roll,2015,"7/5/19, 10:18 PM",,
